"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL382253",4.678,4.57571584673013
1,2,"CHEMBL382702",4.959,5.27621898220901
1,2,"CHEMBL917",3.947,4.53419302545142
1,3,"CHEMBL214955",3.987,4.54639614062754
1,4,"CHEMBL222280",4.523,4.11168552307037
1,5,"CHEMBL272557",3.87,4.49818181068431
1,5,"CHEMBL443308",4.886,4.49818181068431
1,6,"CHEMBL216289",4.013,4.58381837242188
1,7,"CHEMBL405942",4.854,3.98705875117601
1,7,"CHEMBL52609",4.678,4.30537127747664
1,8,"CHEMBL271475",5.367,4.29300940934782
1,8,"CHEMBL788",4.509,4.20805354960572
1,9,"CHEMBL214082",5.018,5.29798355563429
1,10,"CHEMBL152",3.801,4.64627118202906
