"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL382253",4.678,4.63303110963111
1,2,"CHEMBL382702",4.959,4.65460456539166
1,2,"CHEMBL917",3.947,4.65342377342104
1,3,"CHEMBL214955",3.987,4.02080994835819
1,4,"CHEMBL222280",4.523,4.57737350542544
1,5,"CHEMBL272557",3.87,4.77702001694967
1,5,"CHEMBL443308",4.886,4.93255881308185
1,6,"CHEMBL216289",4.013,3.99674919117632
1,7,"CHEMBL405942",4.854,4.47413946806081
1,7,"CHEMBL52609",4.678,4.5936426106706
1,8,"CHEMBL271475",5.367,4.61969486244362
1,8,"CHEMBL788",4.509,4.61969486244362
1,9,"CHEMBL214082",5.018,4.81902130968066
1,10,"CHEMBL152",3.801,4.24144823398082
