"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL382253",4.678,4.49323076923077
1,2,"CHEMBL382702",4.959,4.51533333333333
1,2,"CHEMBL917",3.947,4.51533333333333
1,3,"CHEMBL214955",3.987,4.54638461538462
1,4,"CHEMBL222280",4.523,4.50515384615385
1,5,"CHEMBL272557",3.87,4.52783333333333
1,5,"CHEMBL443308",4.886,4.52783333333333
1,6,"CHEMBL216289",4.013,4.54438461538462
1,7,"CHEMBL405942",4.854,4.46316666666667
1,7,"CHEMBL52609",4.678,4.46316666666667
1,8,"CHEMBL271475",5.367,4.4345
1,8,"CHEMBL788",4.509,4.4345
1,9,"CHEMBL214082",5.018,4.46707692307692
1,10,"CHEMBL152",3.801,4.56069230769231
