"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL382253",4.678,4.5895646
1,2,"CHEMBL382702",4.959,4.7282881
1,2,"CHEMBL917",3.947,4.68553543333333
1,3,"CHEMBL214955",3.987,4.27076523333333
1,4,"CHEMBL222280",4.523,4.62348586666666
1,5,"CHEMBL272557",3.87,4.62910063333333
1,5,"CHEMBL443308",4.886,4.7457134
1,6,"CHEMBL216289",4.013,4.21503596666667
1,7,"CHEMBL405942",4.854,4.4635931
1,7,"CHEMBL52609",4.678,4.47920876666667
1,8,"CHEMBL271475",5.367,4.41075983333333
1,8,"CHEMBL788",4.509,4.50765603333333
1,9,"CHEMBL214082",5.018,4.70294366666666
1,10,"CHEMBL152",3.801,4.34522476666666
