"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL1458563",5.256,5.36733622711848
1,1,"CHEMBL257359",4.688,6.32893126840798
1,2,"CHEMBL1460470",5.356,6.23033341298877
1,2,"CHEMBL1517376",5.686,5.06507279064967
1,3,"CHEMBL1343544",5.773,5.75037611159086
1,3,"CHEMBL1611294",4.254,5.22475216373705
1,4,"CHEMBL1416439",4.681,5.07529969744348
1,4,"CHEMBL1990545",4.254,4.6146961701581
1,5,"CHEMBL1455226",5.613,4.42744288104571
1,5,"CHEMBL1465955",4.254,4.48446988735752
1,6,"CHEMBL1401747",4.855,4.65531906402889
1,6,"CHEMBL6246",6.267,6.38741323397971
1,7,"CHEMBL1464805",5.227,5.01741669654683
1,7,"CHEMBL1497651",6.847,5.81370672588468
1,8,"CHEMBL1431007",6.561,4.56048793609679
1,8,"CHEMBL1517227",4.971,4.98358786204183
1,9,"CHEMBL1329141",5.097,5.66587239225328
1,10,"CHEMBL1322297",4.254,4.45896262166284
1,10,"CHEMBL1988133",5.45,5.52048470562741
