"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL1458563",5.256,5.25215254545455
1,1,"CHEMBL257359",4.688,5.25215254545455
1,2,"CHEMBL1460470",5.356,5.19179618181818
1,2,"CHEMBL1517376",5.686,5.19179618181818
1,3,"CHEMBL1343544",5.773,5.24635872727273
1,3,"CHEMBL1611294",4.254,5.24635872727273
1,4,"CHEMBL1416439",4.681,5.31840981818182
1,4,"CHEMBL1990545",4.254,5.31840981818182
1,5,"CHEMBL1455226",5.613,5.26416
1,5,"CHEMBL1465955",4.254,5.26416
1,6,"CHEMBL1401747",4.855,5.18868563636364
1,6,"CHEMBL6246",6.267,5.18868563636364
1,7,"CHEMBL1464805",5.227,5.127568
1,7,"CHEMBL1497651",6.847,5.127568
1,8,"CHEMBL1431007",6.561,5.17053472727273
1,8,"CHEMBL1517227",4.971,5.17053472727273
1,9,"CHEMBL1329141",5.097,5.2386395
1,10,"CHEMBL1322297",4.254,5.27640018181818
1,10,"CHEMBL1988133",5.45,5.27640018181818
