"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL1458563",5.256,6.06871768949451
1,1,"CHEMBL257359",4.688,5.12712348837216
1,2,"CHEMBL1460470",5.356,5.39809443050255
1,2,"CHEMBL1517376",5.686,5.82485169379373
1,3,"CHEMBL1343544",5.773,9.61369879013593
1,3,"CHEMBL1611294",4.254,4.4054679640809
1,4,"CHEMBL1416439",4.681,4.86833625552674
1,4,"CHEMBL1990545",4.254,3.71254968777454
1,5,"CHEMBL1455226",5.613,5.19500047829468
1,5,"CHEMBL1465955",4.254,4.38958299150647
1,6,"CHEMBL1401747",4.855,5.01564872201789
1,6,"CHEMBL6246",6.267,5.3923589797824
1,7,"CHEMBL1464805",5.227,5.70157929168894
1,7,"CHEMBL1497651",6.847,5.83113032866192
1,8,"CHEMBL1431007",6.561,5.58643802222788
1,8,"CHEMBL1517227",4.971,7.81368097807039
1,9,"CHEMBL1329141",5.097,5.37966874659254
1,10,"CHEMBL1322297",4.254,3.89662226189862
1,10,"CHEMBL1988133",5.45,4.4958885582557
