"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL1458563",5.256,5.25882352941059
1,1,"CHEMBL257359",4.688,5.25882352941059
1,2,"CHEMBL1460470",5.356,5.13760000001235
1,2,"CHEMBL1517376",5.686,5.13760000001235
1,3,"CHEMBL1343544",5.773,5.25394117647546
1,3,"CHEMBL1611294",4.254,5.25394117647546
1,4,"CHEMBL1416439",4.681,5.31817647058688
1,4,"CHEMBL1990545",4.254,5.31817647058688
1,5,"CHEMBL1455226",5.613,5.26335294117638
1,5,"CHEMBL1465955",4.254,5.26335294117638
1,6,"CHEMBL1401747",4.855,5.17099999679377
1,6,"CHEMBL6246",6.267,5.32850001407903
1,7,"CHEMBL1464805",5.227,4.93275003251065
1,7,"CHEMBL1497651",6.847,5.11827274040235
1,8,"CHEMBL1431007",6.561,5.09656250212246
1,8,"CHEMBL1517227",4.971,6.26699994962887
1,9,"CHEMBL1329141",5.097,5.23594444444528
1,10,"CHEMBL1322297",4.254,5.21081249836264
1,10,"CHEMBL1988133",5.45,5.21081249836264
