"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL1458563",5.256,4.94180275571513
1,1,"CHEMBL257359",4.688,5.68847259198258
1,2,"CHEMBL1460470",5.356,6.06709610152448
1,2,"CHEMBL1517376",5.686,4.68185315235324
1,3,"CHEMBL1343544",5.773,7.53365953032518
1,3,"CHEMBL1611294",4.254,6.13904405862869
1,4,"CHEMBL1416439",4.681,4.7264903497415
1,4,"CHEMBL1990545",4.254,4.38459462564106
1,5,"CHEMBL1455226",5.613,5.69827790629099
1,5,"CHEMBL1465955",4.254,6.00354513254266
1,6,"CHEMBL1401747",4.855,5.411671875
1,6,"CHEMBL6246",6.267,5.83862127976191
1,7,"CHEMBL1464805",5.227,4.99614590748568
1,7,"CHEMBL1497651",6.847,6.17535747689453
1,8,"CHEMBL1431007",6.561,5.03952914126217
1,8,"CHEMBL1517227",4.971,4.94043261869588
1,9,"CHEMBL1329141",5.097,5.8560844687849
1,10,"CHEMBL1322297",4.254,4.46703721980667
1,10,"CHEMBL1988133",5.45,5.61438179319248
