"rep","fold","rows_id","truth","prediction"
1,1,"CHEMBL1458563",5.256,0.0775067144806458
1,1,"CHEMBL257359",4.688,2.57263707694883
1,2,"CHEMBL1460470",5.356,83.8687737019973
1,2,"CHEMBL1517376",5.686,-83.2493296422708
1,3,"CHEMBL1343544",5.773,3.20527291408149
1,3,"CHEMBL1611294",4.254,6.26815624179042
1,4,"CHEMBL1416439",4.681,16.0268553994131
1,4,"CHEMBL1990545",4.254,16.9245873903903
1,5,"CHEMBL1455226",5.613,7.21298165766098
1,5,"CHEMBL1465955",4.254,-0.1946450370001
1,6,"CHEMBL1401747",4.855,5.56336914018505
1,6,"CHEMBL6246",6.267,-39.375765458582
1,7,"CHEMBL1464805",5.227,4.90781420482898
1,7,"CHEMBL1497651",6.847,11.773383922939
1,8,"CHEMBL1431007",6.561,4.57653728274818
1,8,"CHEMBL1517227",4.971,-2.97069043703408
1,9,"CHEMBL1329141",5.097,5.40230811154396
1,10,"CHEMBL1322297",4.254,12.9110314611796
1,10,"CHEMBL1988133",5.45,3.07066408995365
